source_role,url,prediction_keys,source_locators,preservation_level,archived_copy_url,archive_status,preserved_capsule_count,preserved_text_capsule_sha256
prediction_source,https://www.youtube.com/watch?v=S34b4kNUIos,51-BHPRO-2012-03-01;51-BHPRO-2012-03-02;51-BHPRO-2012-03-03;51-BHPRO-2012-03-04;51-BHPRO-2012-03-05;51-BHPRO-2012-03-06;51-BHPRO-2012-03-07;51-BHPRO-2012-03-08,00:02:58-00:03:27;00:52:48-00:53:10;00:57:16-00:57:33;00:57:47-00:58:53;00:58:53-00:59:33;00:59:44-00:59:55;01:00:04-01:00:35;01:00:37-01:01:04,locator_and_text_capsule,,pending_external_archive,8,2CDE1C0F9BCB00C41DDD9E44FD49FE6CF6B8C7DC76810232115239E3D48AEE4C
prediction_source,https://www.youtube.com/watch?v=Tjvw5fz_GuA,93-BHKEY-2015-01-01,00:06:11-00:06:33,locator_and_text_capsule,,pending_external_archive,1,387F1EDCFA60A3513B61A32AFCDF3CFBB9BA623C37DC604DBC86ABEE1D912D6F
prediction_source,https://www.youtube.com/watch?v=YJOMTAREFtY,36-BHKEY-2017-01-10,00:25:38-00:25:46,locator_and_text_capsule,,pending_external_archive,1,888A05C683F1F807E244F652931637556723DAA619983ACF6AA1C3679CFEC617
prediction_source,https://www.youtube.com/watch?v=cwyJm6b1F0k,4-BHPRO-2014-03-03,00:49:23-00:49:38,locator_and_text_capsule,,pending_external_archive,1,AADB1C9AF34E29C62439C3C2E29BD91E4F804CB111A20C1920DC74B88E5CB05D
prediction_source,https://www.youtube.com/watch?v=tNzQNYZymWU,1-BHPRO-2005-01-06,00:11:32-00:11:42,locator_and_text_capsule,,pending_external_archive,1,99FF27BE05D5FDDE4D0EAB6885FD94EBF7640B5AADD53DF62F1A56AAD6F31AB1
primary_outcome_evidence,https://apwg.org/trendsreports/,23-CCC-2018-085-07,,locator_and_text_capsule,,pending_external_archive,1,ED6BCE3108DC2D979DF291E498444254DE900F502CFA0D1836A0DD1C149DFD18
primary_outcome_evidence,https://arxiv.org/abs/1403.5727,34-CCC-2013-034-13,,locator_and_text_capsule,,pending_external_archive,1,C48F1642A84EB6AB007CE145C0B0D59430E3E236320FC736B8A7AF5683A16625
primary_outcome_evidence,https://arxiv.org/abs/1811.03194,59-CCC-2016-060-07,,locator_and_text_capsule,,pending_external_archive,1,E37EB86B936747FF03C8FC555802DD949CDF2DAFE28FCEEDFE535305FB4DBD5E
primary_outcome_evidence,https://arxiv.org/abs/2006.14662,131-CCC-2015-056-04,,locator_and_text_capsule,,pending_external_archive,1,EFE82B0DAB25D9B38DD1763D30181AF4C915DD571F335CF441044633E55D1426
primary_outcome_evidence,https://av-comparatives.org/tests/endpoint-prevention-response-epr-test-2021/,31-VB-2016-P01-08,,locator_and_text_capsule,,pending_external_archive,1,B26210278EA1EA7203FC362D8CCFA02618DEC9085F0A69313DE2E81E8DB647B1
